CODE_LIGNE;LIB_LIGNE;CATLIG;RG_TRONCON;PKD;PKF;IDGAIA;X_D_L93;Y_D_L93;X_F_L93;Y_F_L93;X_D_WGS84;Y_D_WGS84;X_F_WGS84;Y_F_WGS84;C_GEO_D;C_GEO_F
752305;752305;Ligne à grande vitesse;1;000-349;001+764;778103d0-e28c-11e8-92ff-01b064e0362d;659780.7609999999;6851001.0841999985;661117.616899997;6850204.554000001;2.4528902027401807;48.757863363213545;2.471147718054836;48.75078143730621;48.757863363213545, 2.4528902027401807;48.75078143730621, 2.471147718054836
570385;570385;Ligne à grande vitesse;1;000+000;004+444;77831b4a-e28c-11e8-92ff-01b064e0362d;476802.8572999984;6529406.376400001;476135.6582000032;6533386.809599999;0.12441823334094344;45.827717608332335;0.11395643543166672;45.86331807814727;45.827717608332335, 0.12441823334094344;45.86331807814727, 0.11395643543166672
778300;778300;Ligne à grande vitesse;1;000+000;002+523;777c1d74-e28c-11e8-92ff-01b064e0362d;837125.3021000028;6577123.1127;837893.9594999999;6574900.6603000015;4.781020920960804;46.2800759361277;4.790346666784576;46.25991184913016;46.2800759361277, 4.781020920960804;46.25991184913016, 4.790346666784576
5317;5317;Ligne à grande vitesse;1;000+000;001+536;777a33dc-e28c-11e8-92ff-01b064e0362d;773690.0795999989;6901423.135600001;772405.3835000023;6902105.835499998;4.011164654488634;49.20827554237201;3.9936559956053936;49.21455924201552;49.20827554237201, 4.011164654488634;49.21455924201552, 3.9936559956053936
226320;226320;Ligne à grande vitesse;1;000+000;004+942;777c7c00-e28c-11e8-92ff-01b064e0362d;680120.7043000013;6870552.990699999;680375.1749000028;6874280.763999999;2.7286610137210814;48.934645213250526;2.7319616219575007;48.96817456700922;48.934645213250526, 2.7286610137210814;48.96817456700922, 2.7319616219575007
408370;408370;Ligne à grande vitesse;1;000+000;007+681;778342dc-e28c-11e8-92ff-01b064e0362d;408292.4228999987;6780174.27;414619.4679000005;6782913.0315999985;-0.9171637444781803;48.05681567012413;-0.8341209556534693;48.084224662457444;48.05681567012413, -0.9171637444781803;48.084224662457444, -0.8341209556534693
226000;226000;Ligne à grande vitesse;1;000+000;210+580;777c7624-e28c-11e8-92ff-01b064e0362d;658068.1257999986;6878022.064300001;719768.0033000037;7052797.192299999;2.42692608412254;49.000748150649365;3.2785963626118297;50.57200603375194;49.000748150649365, 2.42692608412254;50.57200603375194, 3.2785963626118297
834100;834100;Ligne à grande vitesse;1;000+000;005+325;777e5266-e28c-11e8-92ff-01b064e0362d;837910.7307000011;6316704.177900001;842564.4029000029;6315697.8561;4.717654543011116;43.935840909329094;4.775314274094826;43.925860441605295;43.935840909329094, 4.717654543011116;43.925860441605295, 4.775314274094826
408360;408360;Ligne à grande vitesse;1;000+000;005+575;7782e992-e28c-11e8-92ff-01b064e0362d;426445.7128000036;6782269.892700002;422042.95120000094;6782797.610300001;-0.6750664255494885;48.08350210294831;-0.7344629394445338;48.08638745210356;48.08350210294831, -0.6750664255494885;48.08638745210356, -0.7344629394445338
752358;752358;Ligne à grande vitesse;1;000+000;000+705;7781f338-e28c-11e8-92ff-01b064e0362d;865341.5205999985;6302207.0887;865276.6981000006;6301552.042199999;5.054461876514762;43.79951988472634;5.053445165419773;43.79364241401639;43.79951988472634, 5.054461876514762;43.79364241401639, 5.053445165419773
408345;408345;Ligne à grande vitesse;1;000+000;003+612;77834252-e28c-11e8-92ff-01b064e0362d;451286.19359999895;6762194.710000001;452847.89169999957;6759158.518199999;-0.3303952622682249;47.9129335181193;-0.3078058133564758;47.886223552167806;47.9129335181193, -0.3303952622682249;47.886223552167806, -0.3078058133564758
752352;752352;Ligne à grande vitesse;1;000+000;002+106;7781f15a-e28c-11e8-92ff-01b064e0362d;857185.1832000017;6406015.9142;855416.8127000034;6406562.370700002;4.985586503742425;44.73548547779437;4.963429051938939;44.740801750019116;44.73548547779437, 4.985586503742425;44.740801750019116, 4.963429051938939
833300;833300;Ligne à grande vitesse;1;000+000;001+898;777e504e-e28c-11e8-92ff-01b064e0362d;749914.8570000008;6764147.235800002;751723.3935000002;6763976.820099998;3.668985743237978;47.975811117887964;3.693203447375572;47.9741371785845;47.975811117887964, 3.668985743237978;47.9741371785845, 3.693203447375572
226306;226306;Ligne à grande vitesse;1;000+000;010+687;777c7998-e28c-11e8-92ff-01b064e0362d;690664.6675999984;7010345.517299999;683232.2511000037;7017347.274;2.8694233116571515;50.19114004416671;2.7651726239029286;50.25385750780973;50.19114004416671, 2.8694233116571515;50.25385750780973, 2.7651726239029286
779300;779300;Ligne à grande vitesse;1;000+000;002+216;777c1e4e-e28c-11e8-92ff-01b064e0362d;838909.8699999973;6577498.4591999985;838303.7594000027;6575935.4463;4.80430273923849;46.2830901805493;4.795970997936117;46.26914367716996;46.2830901805493, 4.80430273923849;46.26914367716996, 4.795970997936117
14000;14000;Ligne à grande vitesse;1;000+423;137+899;777fdd22-e28c-11e8-92ff-01b064e0362d;874246.2220999971;6681797.599399999;996308.1374000013;6729929.189399999;5.302550866282174;47.21360702450679;6.945157133678401;47.60310931058609;47.21360702450679, 5.302550866282174;47.60310931058609, 6.945157133678401
752000;752000;Ligne à grande vitesse;1;000+994;711+163;77836e76-e28c-11e8-92ff-01b064e0362d;668306.9003999978;6836569.050799999;890922.1772999987;6253318.768599998;2.5699394899634704;48.62853150748475;5.354034571629331;43.353395118070125;48.62853150748475, 2.5699394899634704;43.353395118070125, 5.354034571629331
429310;429310;Ligne à grande vitesse;1;179+317;182+931;777aa83e-e28c-11e8-92ff-01b064e0362d;511747.9017999992;6775366.548900001;508690.2243999988;6775073.8006;0.4729329111361345;48.05156627519086;0.4320435843154122;48.04804569706252;48.05156627519086, 0.4729329111361345;48.04804569706252, 0.4320435843154122
752305;752305;Ligne à grande vitesse;1;;;;659780.7609999999;6851001.0841999985;661117.616899997;6850204.554000001;2.4528902027401807;48.757863363213545;2.471147718054836;48.75078143730621;48.757863363213545, 2.4528902027401807;48.75078143730621, 2.471147718054836
570385;570385;Ligne à grande vitesse;1;;;;476802.8572999984;6529406.376400001;476135.6582000032;6533386.809599999;0.12441823334094344;45.827717608332335;0.11395643543166672;45.86331807814727;45.827717608332335, 0.12441823334094344;45.86331807814727, 0.11395643543166672
408315;408315;Ligne à grande vitesse;1;;;;487237.85819999874;6779154.682999998;485730.4848999977;6780110.679400001;0.14234487254177985;48.078116034589115;0.1216490286410266;48.086220458128125;48.078116034589115, 0.14234487254177985;48.086220458128125, 0.1216490286410266
778300;778300;Ligne à grande vitesse;1;;;;837125.3021000028;6577123.1127;837893.9594999999;6574900.6603000015;4.781020920960804;46.2800759361277;4.790346666784576;46.25991184913016;46.2800759361277, 4.781020920960804;46.25991184913016, 4.790346666784576
752323;752323;Ligne à grande vitesse;1;;;;699392.7712000012;6809618.823399998;699061.0232999995;6809620.7379;2.9917980944707083;48.38686729126476;2.9873171353677215;48.38688412074389;48.38686729126476, 2.9917980944707083;48.38688412074389, 2.9873171353677215
566000;566000;Ligne à grande vitesse;1;;;;530170.2141000032;6695427.207699999;423721.1741999984;6431446.4549;0.7506483825536794;47.337402255354995;-0.5026939031612094;44.92705909378526;47.337402255354995, 0.7506483825536794;44.92705909378526, -0.5026939031612094
570360;570360;Ligne à grande vitesse;1;;;;497240.00559999794;6615621.425700001;497772.6216999963;6621468.721500002;0.3502575799237981;46.61002576667217;0.354653761717846;46.66280754073003;46.61002576667217, 0.3502575799237981;46.66280754073003, 0.354653761717846
216000;216000;Ligne à grande vitesse;1;;;;708327.2726999968;7051074.703699999;614437.879900001;7092302.6000000015;3.1173230678732593;50.55680385699207;1.7856754034480309;50.92088735959269;50.55680385699207, 3.1173230678732593;50.92088735959269, 1.7856754034480309
226321;226321;Ligne à grande vitesse;1;;;;677281.3933999985;6872958.945300002;679574.7157000005;6873278.929699998;2.689777690009167;48.95618653854127;2.721077270248084;48.95914087113717;48.95618653854127, 2.689777690009167;48.95914087113717, 2.721077270248084
408340;408340;Ligne à grande vitesse;1;;;;456778.2621999979;6761641.494399998;451711.14360000193;6755898.777899999;-0.25663283889210803;47.91002010092975;-0.32116789893088027;47.85648303060621;47.91002010092975, -0.25663283889210803;47.85648303060621, -0.32116789893088027
408320;408320;Ligne à grande vitesse;1;;;;485108.85610000044;6778646.6347;488196.93150000274;6777680.985399999;0.11402439814441694;48.07285068077945;0.1559278476357781;48.06517484896753;48.07285068077945, 0.11402439814441694;48.06517484896753, 0.1559278476357781
140370;140370;Ligne à grande vitesse;1;;;;953611.2088999972;6879643.116599999;956693.6644999981;6877452.938700002;6.464858037553233;48.966650932072795;6.505588256009375;48.94575214247288;48.966650932072795, 6.464858037553233;48.94575214247288, 6.505588256009375
5330;5330;Ligne à grande vitesse;1;;;;799871.8082000017;6886288.9098000005;800637.0262999982;6885533.3158;4.3667698307235385;49.06867736310692;4.377059596175495;49.061764960966556;49.06867736310692, 4.3667698307235385;49.061764960966556, 4.377059596175495
752352;752352;Ligne à grande vitesse;1;;;;857185.1832000017;6406015.9142;855416.8127000034;6406562.370700002;4.985586503742425;44.73548547779437;4.963429051938939;44.740801750019116;44.73548547779437, 4.985586503742425;44.740801750019116, 4.963429051938939
14300;14300;Ligne à grande vitesse;1;;;;923428.1824000031;6694072.192200001;925144.7796000019;6693479.360599998;5.9579920019810615;47.30930317534094;5.980400636127515;47.30338910250733;47.30930317534094, 5.9579920019810615;47.30338910250733, 5.980400636127515
752356;752356;Ligne à grande vitesse;1;;;;835628.0969000012;6356488.385200001;835636.5873000026;6354893.686999999;4.699899105222208;44.294278193742436;4.699575352222603;44.27992554946671;44.294278193742436, 4.699899105222208;44.27992554946671, 4.699575352222603
752340;752340;Ligne à grande vitesse;1;;;;861418.4699999988;6508811.478399999;863460.0362000018;6506496.934;5.0731227227101625;45.65978156631151;5.098540778880845;45.63846122811232;45.65978156631151, 5.0731227227101625;45.63846122811232, 5.098540778880845
431302;431302;Ligne à grande vitesse;1;;;;608926.2453000024;6815463.471099999;608628.2113000005;6814949.4058;1.7687255851579085;48.43306094916042;1.7648056690138032;48.428394902065556;48.43306094916042, 1.7687255851579085;48.428394902065556, 1.7648056690138032
752342;752342;Ligne à grande vitesse;1;493+427;496+340;7781f04e-e28c-11e8-92ff-01b064e0362d;855733.5398000032;6436448.549699999;855276.5728999972;6433669.236299999;4.976879244444455;45.00972419150384;4.970200818944415;44.98481061688086;45.00972419150384, 4.976879244444455;44.98481061688086, 4.970200818944415
226305;226305;Ligne à grande vitesse;1;000+000;000+654;777c7908-e28c-11e8-92ff-01b064e0362d;684762.9184999987;6961069.090399999;684786.7141999975;6961680.809599999;2.788717955268675;49.74840606941014;2.7890252489488203;49.75390280707333;49.74840606941014, 2.788717955268675;49.75390280707333, 2.7890252489488203
5315;5315;Ligne à grande vitesse;1;000+000;003+570;777a331a-e28c-11e8-92ff-01b064e0362d;773214.5530000031;6901658.3336;775563.5223999992;6902672.920400001;4.004681314568304;49.210444409118836;4.037094074731081;49.21929189223826;49.210444409118836, 4.004681314568304;49.21929189223826, 4.037094074731081
538310;538310;Ligne à grande vitesse;1;000+000;004+002;77831792-e28c-11e8-92ff-01b064e0362d;489035.7730000019;6605367.3594;486720.0050000027;6602313.838399999;0.24779566942922177;46.515221647907154;0.21901179606336874;46.487012651910476;46.515221647907154, 0.24779566942922177;46.487012651910476, 0.21901179606336874
752100;752100;Ligne à grande vitesse;1;000+000;039+406;77810286-e28c-11e8-92ff-01b064e0362d;658572.2757999972;6852872.453499999;681818.7220999971;6829905.366700001;2.436269766781416;48.77461745807791;2.7535691408597955;48.56911147041437;48.77461745807791, 2.436269766781416;48.56911147041437, 2.7535691408597955
856350;856350;Ligne à grande vitesse;1;000+000;002+762;7780585e-e28c-11e8-92ff-01b064e0362d;926064.8015000001;6694923.555100001;926976.6909999996;6697424.741999999;5.993292346309822;47.31606774815226;6.006615312462102;47.33825611782837;47.31606774815226, 5.993292346309822;47.33825611782837, 6.006615312462102
5345;5345;Ligne à grande vitesse;1;000+000;004+496;777ef95e-e28c-11e8-92ff-01b064e0362d;950409.5649000034;6878619.602899998;953352.8726999983;6883261.1908;6.420566598803245;48.95871073989349;6.463499909755422;48.999255820382984;48.95871073989349, 6.420566598803245;48.999255820382984, 6.463499909755422
226321;226321;Ligne à grande vitesse;1;000+000;002+612;777c7c8c-e28c-11e8-92ff-01b064e0362d;677281.3933999985;6872958.945300002;679574.7157000005;6873278.929699998;2.689777690009167;48.95618653854127;2.721077270248084;48.95914087113717;48.95618653854127, 2.689777690009167;48.95914087113717, 2.721077270248084
777300;777300;Ligne à grande vitesse;1;000+000;006+426;777c1b92-e28c-11e8-92ff-01b064e0362d;839838.7906000018;6575214.113899998;845697.7075000033;6576011.496100001;4.815682114018428;46.26233384690231;4.89197442861596;46.26827361207565;46.26233384690231, 4.815682114018428;46.26827361207565, 4.89197442861596
5343;5343;Ligne à grande vitesse;1;000+000;005+196;7782ef0c-e28c-11e8-92ff-01b064e0362d;951595.2518000007;6879409.669100001;953989.3596000001;6879545.9454;6.437212033280549;48.96534573730955;6.469959419643305;48.96562870855198;48.96534573730955, 6.437212033280549;48.96562870855198, 6.469959419643305
538311;538311;Ligne à grande vitesse;1;000+000;003+439;77831828-e28c-11e8-92ff-01b064e0362d;488944.34109999985;6605314.4739000015;486875.9252000004;6602681.177200001;0.24662787832281635;46.51471703514931;0.2208746733822826;46.49036773041644;46.51471703514931, 0.24662787832281635;46.49036773041644, 0.2208746733822826
752354;752354;Ligne à grande vitesse;1;000+000;003+100;7781f1e8-e28c-11e8-92ff-01b064e0362d;835704.1912999973;6357864.758099999;836096.7111999989;6354804.261999998;4.7012241483125035;44.30664976880583;4.705314885322642;44.27903151145665;44.30664976880583, 4.7012241483125035;44.27903151145665, 4.705314885322642
752356;752356;Ligne à grande vitesse;1;000+000;001+614;7781f272-e28c-11e8-92ff-01b064e0362d;835628.0969000012;6356488.385200001;835636.5873000026;6354893.686999999;4.699899105222208;44.294278193742436;4.699575352222603;44.27992554946671;44.294278193742436, 4.699899105222208;44.27992554946671, 4.699575352222603
167320;167320;Ligne à grande vitesse;1;000+000;001+851;778320e6-e28c-11e8-92ff-01b064e0362d;1004980.4496999979;6859939.410100002;1006488.947300002;6860678.934599999;7.151341665036362;48.76738663790645;7.172368382165815;48.773313852959085;48.76738663790645, 7.151341665036362;48.773313852959085, 7.172368382165815
5341;5341;Ligne à grande vitesse;1;000+000;003+320;777a363e-e28c-11e8-92ff-01b064e0362d;919743.9532999992;6878697.565499999;921523.9182000011;6879877.864399999;6.002149911026628;48.970622968909204;6.0270620061071964;48.980617830281076;48.970622968909204, 6.002149911026628;48.980617830281076, 6.0270620061071964
752340;752340;Ligne à grande vitesse;1;416+648;419+962;77810608-e28c-11e8-92ff-01b064e0362d;861418.4699999988;6508811.478399999;863460.0362000018;6506496.934;5.0731227227101625;45.65978156631151;5.098540778880845;45.63846122811232;45.65978156631151, 5.0731227227101625;45.63846122811232, 5.098540778880845
216312;216312;Ligne à grande vitesse;1;287+653;288+279;777f63f6-e28c-11e8-92ff-01b064e0362d;616136.5134000033;7091450.005199999;615528.7964000031;7091472.477600001;1.8099616070608395;50.913472110623296;1.8013344699536302;50.91359122124942;50.913472110623296, 1.8099616070608395;50.91359122124942, 1.8013344699536302
431000;431000;Ligne à grande vitesse;1;006+300;222+994;778366fe-e28c-11e8-92ff-01b064e0362d;648198.7695999965;6855347.721900001;530142.2220000029;6695404.759399999;2.2948176163410876;48.79612913904851;0.7502863036932537;47.3371930740501;48.79612913904851, 2.2948176163410876;47.3371930740501, 0.7502863036932537
431315;431315;Ligne à grande vitesse;1;214+699;217+389;777ab2f2-e28c-11e8-92ff-01b064e0362d;534234.1506000012;6702071.9474;531866.2973999977;6701374.091200002;0.8019969026703994;47.39822552407638;0.7708776301264303;47.39134840718037;47.39822552407638, 0.8019969026703994;47.39134840718037, 0.7708776301264303
431302;431302;Ligne à grande vitesse;1;065+833;066+442;777ab074-e28c-11e8-92ff-01b064e0362d;608926.2453000024;6815463.471099999;608628.2113000005;6814949.4058;1.7687255851579085;48.43306094916042;1.7648056690138032;48.428394902065556;48.43306094916042, 1.7687255851579085;48.428394902065556, 1.7648056690138032
538315;538315;Ligne à grande vitesse;1;;;;486436.1070000008;6603658.490200002;488710.31930000335;6606884.848200001;0.2146948741494719;46.49902297714005;0.24286233195250279;46.52877529413486;46.49902297714005, 0.2146948741494719;46.52877529413486, 0.24286233195250279
226320;226320;Ligne à grande vitesse;1;;;;680120.7043000013;6870552.990699999;680375.1749000028;6874280.763999999;2.7286610137210814;48.934645213250526;2.7319616219575007;48.96817456700922;48.934645213250526, 2.7286610137210814;48.96817456700922, 2.7319616219575007
856350;856350;Ligne à grande vitesse;1;;;;926064.8015000001;6694923.555100001;926976.6909999996;6697424.741999999;5.993292346309822;47.31606774815226;6.006615312462102;47.33825611782837;47.31606774815226, 5.993292346309822;47.33825611782837, 6.006615312462102
408360;408360;Ligne à grande vitesse;1;;;;426445.7128000036;6782269.892700002;422042.95120000094;6782797.610300001;-0.6750664255494885;48.08350210294831;-0.7344629394445338;48.08638745210356;48.08350210294831, -0.6750664255494885;48.08638745210356, -0.7344629394445338
408000;408000;Ligne à grande vitesse;1;;;;512014.120099999;6775258.135200001;356566.2646000013;6788900.848000001;0.47655064299698513;48.05066778035632;-1.6171459242494537;48.110087164562756;48.05066778035632, 0.47655064299698513;48.110087164562756, -1.6171459242494537
834000;834000;Ligne à grande vitesse;1;;;;839365.4496999979;6320917.149500001;821941.3997000009;6303753.546700001;4.736921035758172;43.9734608386814;4.515715620792194;43.8222612588769;43.9734608386814, 4.736921035758172;43.8222612588769, 4.515715620792194
538311;538311;Ligne à grande vitesse;1;;;;488944.34109999985;6605314.4739000015;486875.9252000004;6602681.177200001;0.24662787832281635;46.51471703514931;0.2208746733822826;46.49036773041644;46.51471703514931, 0.24662787832281635;46.49036773041644, 0.2208746733822826
752330;752330;Ligne à grande vitesse;1;;;;845539.8685000017;6534389.0735;846812.0187000036;6527909.419100001;4.877079523246545;45.893609178211385;4.891479167107207;45.835003681058964;45.893609178211385, 4.877079523246545;45.835003681058964, 4.891479167107207
431302;431302;Ligne à grande vitesse;1;;;;608628.6767999977;6814950.261599999;608627.7458999977;6814948.549899999;1.7648117798158345;48.42840266576355;1.7647995595862573;48.42838713748173;48.42840266576355, 1.7648117798158345;48.42838713748173, 1.7647995595862573
14330;14330;Ligne à grande vitesse;1;000+000;003+060;777fdea4-e28c-11e8-92ff-01b064e0362d;996308.1374000013;6729929.189399999;998332.8316999972;6731036.1644;6.945157133678401;47.60310931058609;6.972810278228126;47.61214745484902;47.60310931058609, 6.945157133678401;47.61214745484902, 6.972810278228126
570390;570390;Ligne à grande vitesse;1;000+000;005+890;77831bd4-e28c-11e8-92ff-01b064e0362d;473857.23650000244;6504078.305300001;470972.7399000004;6499838.017299999;0.09848735388247487;45.598824512732;0.06353417406225097;45.559707882108654;45.598824512732, 0.09848735388247487;45.559707882108654, 0.06353417406225097
570360;570360;Ligne à grande vitesse;1;000+000;006+775;77831a46-e28c-11e8-92ff-01b064e0362d;497240.00559999794;6615621.425700001;497772.6216999963;6621468.721500002;0.3502575799237981;46.61002576667217;0.354653761717846;46.66280754073003;46.61002576667217, 0.3502575799237981;46.66280754073003, 0.354653761717846
216308;216308;Ligne à grande vitesse;1;000+000;001+412;777f62f2-e28c-11e8-92ff-01b064e0362d;663562.686499998;7075383.7346;662741.4042000026;7076136.0989000015;2.484404736287961;50.77393721689055;2.4727126789329508;50.78063887396396;50.77393721689055, 2.484404736287961;50.78063887396396, 2.4727126789329508
408320;408320;Ligne à grande vitesse;1;000+000;003+567;77834156-e28c-11e8-92ff-01b064e0362d;485108.85610000044;6778646.6347;488196.93150000274;6777680.985399999;0.11402439814441694;48.07285068077945;0.1559278476357781;48.06517484896753;48.07285068077945, 0.11402439814441694;48.06517484896753, 0.1559278476357781
140370;140370;Ligne à grande vitesse;1;000+000;004+430;77832078-e28c-11e8-92ff-01b064e0362d;953611.2088999972;6879643.116599999;956693.6644999981;6877452.938700002;6.464858037553233;48.966650932072795;6.505588256009375;48.94575214247288;48.966650932072795, 6.464858037553233;48.94575214247288, 6.505588256009375
